Id,Price
4567,166148.24412398261
5925,119712.56758248353
960,151484.29339025303
3848,125137.98820852404
746,204010.85743834762
868,339212.41089418385
672,122476.93859010791
2471,197339.82813901134
4510,122245.60091145533
8354,247485.5041424565
6393,177102.97990890604
13270,250886.71070979338
5250,279004.0498188189
16751,175805.7777676493
11404,125175.40874963178
10588,310641.4013124153
14925,203338.55158950965
6791,193486.08425395555
16097,189184.81988798862
16428,348835.48225160444
6945,325181.1169138645
3190,217049.5396700406
15709,436908.8318294333
13155,151914.32660932295
7675,184300.78766984382
14686,221002.457497834
609,176709.59605615112
11155,163643.85829366013
10869,205120.91698346517
15742,188900.09109149233
9245,188214.1282286263
3340,188424.9709749211
2359,267979.9043728096
8070,190494.36712600422
13707,116617.80213875881
16079,265510.0889962642
15937,287859.155119346
14090,162727.9585823078
9008,199414.28663940122
16384,156698.5617622232
11657,234798.14233888473
13151,149943.52409658543
8990,148097.94419728423
11857,181786.25358556275
1565,153125.5245250393
8174,121269.18247714936
9247,251376.23968933072
10478,209832.03302074416
15509,140743.71002649155
8306,258520.91567152078
6642,179437.73560043302
7472,204279.3025007133
15989,122491.17703053968
13682,147646.74281434272
163,225209.32175330468
7076,172788.2740103096
7478,282810.842889511
3029,184740.1721090363
1814,133225.4846776813
10057,121941.02578143556
15100,190237.00506811205
12694,223050.52933108705
6291,179310.24794015285
12603,148552.76546314493
3218,206720.55124407643
13456,122853.58271531826
10170,218801.10875381556
4530,155259.9879907201
13329,170403.91393278382
4820,148825.8478734527
10896,171028.0649186763
13416,104005.9891486851
2701,208806.29365824946
11265,348106.8509332484
9189,245484.45289652402
1858,203203.07907684697
14536,228351.33616937327
6199,309346.4199345683
14730,153562.87344484878
7510,265692.47803772066
15505,163529.58904517346
7446,182162.23633040857
14016,199083.21836291786
14113,106036.39464012047
8721,319101.1270610966
6193,297403.2258506509
5717,183051.05457496227
5427,298870.6093429651
9520,414418.0809319699
6869,104503.71774996564
1658,161344.41344204306
6639,251649.5654638813
6283,200202.78147088733
6257,115332.09084561004
15235,186040.6342689254
