Id,Price
4567,161452.03436267827
5925,123680.79369066004
960,167923.36651146595
3848,148110.08490219712
746,202793.42156255743
868,336369.9912000852
672,124412.77619633978
2471,190982.43049442754
4510,97092.69203500806
8354,233830.45203522412
6393,181397.3361814813
13270,237768.90998017788
5250,291841.9130909611
16751,168442.60025648592
11404,127490.70942141754
10588,319078.79974054394
14925,206671.4346113661
6791,190713.7870504644
16097,181330.4274664944
16428,376685.79457028717
6945,310375.6734041407
3190,215982.39545474946
15709,444608.3838617247
13155,156050.52802845664
7675,200543.1135211821
14686,206817.78242708667
609,171477.5469936099
11155,172715.69295679676
10869,202430.294373471
15742,207807.57260684413
9245,175771.07359907855
3340,194967.94915235727
2359,252607.3350803115
8070,196641.6455170393
13707,109379.58546192148
16079,261295.33478903252
15937,293131.40999830863
14090,159034.00500396703
9008,198354.26382504482
16384,151682.09089497625
11657,220330.83526243552
13151,146154.052269337
8990,170220.43231068985
11857,179254.35559934328
1565,162558.79852882988
8174,134146.22820826064
9247,250403.76624960636
10478,198926.36097970488
15509,135318.33753440098
8306,263013.0519710821
6642,147276.45780783417
7472,199016.86116996378
15989,121069.69615151538
13682,145911.8929310314
163,224749.95132293785
7076,180418.19027832037
7478,282012.82035228657
3029,188954.3835209491
1814,128843.60872663624
10057,125474.56943900257
15100,195277.990796045
12694,209003.8200911402
6291,175974.90111297267
12603,159453.86504770265
3218,190651.83185026053
13456,121265.87803394419
10170,228732.62520906448
4530,193927.93531491925
13329,180269.5579770242
4820,156003.23849096755
10896,173087.15200735803
13416,114215.72750508005
2701,197809.8645007445
11265,354618.92591094825
9189,238419.0111441268
1858,186891.7859876173
14536,224460.0442778794
6199,305791.7834782035
14730,147785.89782520366
7510,244582.4935711486
15505,157727.8930363678
7446,175749.30836897655
14016,206894.0566189647
14113,104620.35648588969
8721,296906.03666020714
6193,298825.3427592158
5717,177644.3300311463
5427,318834.7959090295
9520,381278.06981153716
6869,99287.74819379934
1658,156262.00525366314
6639,265002.1761002826
6283,191351.62969138936
6257,116554.96817635113
15235,194891.46232979317
902,337110.49228153244
8932,191899.28830315315
16469,357121.8765014996
2825,274982.18788338726
6450,414834.5591983053
11366,176662.23595101724
3801,360455.6442651483
11385,197582.8213725808
1079,198081.96187010728
3202,236278.54389974667
676,230996.90424080502
6185,284297.7632844482
